market,event_phase,inclusion,window,window_slug,n_events,mean_car,std_car,se_car,ci_low_95,ci_high_95,t_stat,p_value
CN,effective,1,"[0,+20]",p0_p20,118,-0.013603136988075535,0.10175386781094158,0.009367202797973404,-0.031962854472103404,0.004756580495952336,-1.452209083272818,0.14911993152856187
CN,effective,1,"[0,+60]",p0_p60,118,-0.018043099747926523,0.17231355529026313,0.01586274853200356,-0.0491340868706535,0.013047887374800452,-1.1374510357725234,0.25767383064571303
CN,effective,1,"[0,+120]",p0_p120,118,-0.001805387593112186,0.2524387748426041,0.023238872869345114,-0.047353578417028606,0.04374280323080424,-0.07768825980771686,0.9382087363505723
US,announce,0,"[-1,+1]",m1_p1,293,0.00020012698639229468,0.05446789478468593,0.0031820483895062157,-0.0060366878570398885,0.006436941829824477,0.0628925025314747,0.9498951344500018
US,announce,0,"[0,+5]",p0_p5,293,0.0010151064236037638,0.03320656983406707,0.0019399485234231472,-0.0027871926823056043,0.004817405529513132,0.5232646182861348,0.6011869725067615
US,announce,0,"[0,+20]",p0_p20,293,0.0033009617040277895,0.08745158956348148,0.005108976413174575,-0.0067126320657943765,0.013314555473849955,0.6461101866737068,0.5187154535146078
US,announce,0,"[0,+60]",p0_p60,293,0.00346307873164793,0.1488193197682978,0.008694117491929665,-0.013577391552534212,0.020503549015830073,0.3983243537785797,0.6906821996131515
US,announce,0,"[0,+120]",p0_p120,293,0.021488546684028772,0.2219936597935021,0.012969008081162565,-0.003930709155049856,0.0469078025231074,1.6569152050449263,0.09861065391091314
US,announce,1,"[-1,+1]",m1_p1,318,0.01471670892834594,0.05053344752147334,0.002833775022031388,0.00916250988516442,0.02027090797152746,5.193322975158517,3.7016587696561376e-07
US,announce,1,"[0,+5]",p0_p5,318,0.006364469730564207,0.06515096095591492,0.0036534844716415086,-0.0007963598338531497,0.013525299294981565,1.7420273111779934,0.08247356988913111
US,announce,1,"[0,+20]",p0_p20,318,0.0021361840851213025,0.08950980747658316,0.005019460755100771,-0.007701958994876208,0.011974327165118814,0.42558039386014007,0.6707024091227982
US,announce,1,"[0,+60]",p0_p60,318,0.003857129331428882,0.1499767646713626,0.008410279338851561,-0.012627018172720179,0.020341276835577942,0.4586208348170729,0.6468207410417695
US,announce,1,"[0,+120]",p0_p120,318,0.015909392739942078,0.18060181495982688,0.010127646880795491,-0.003940795146417084,0.03575958062630124,1.5708873864974695,0.117206373451464
US,effective,0,"[-1,+1]",m1_p1,293,-0.0025069686818520315,0.04178059963653488,0.002440848692823339,-0.007291032119785775,0.0022770947560817123,-1.0270889339528093,0.3052286471322184
US,effective,0,"[0,+5]",p0_p5,293,0.003045503286624014,0.06251190705017187,0.003651984603779627,-0.004112386536784055,0.010203393110032082,0.833931031218496,0.40500151747561813
US,effective,0,"[0,+20]",p0_p20,293,0.0056916768771584384,0.10564519284365831,0.0061718580656756495,-0.006405164931565834,0.01778851868588271,0.922198277502896,0.3571864949187099
US,effective,0,"[0,+60]",p0_p60,293,0.005867388382323178,0.171953943465757,0.010045656639336367,-0.0138220986307761,0.025556875395422455,0.5840721610320525,0.5596226946365612
US,effective,0,"[0,+120]",p0_p120,293,0.02083233877560448,0.23470219999887593,0.013711448927340716,-0.006042101121983324,0.047706778673192285,1.5193389762087552,0.129759193135302
US,effective,1,"[-1,+1]",m1_p1,318,-0.0011532033037981782,0.04033170713335818,0.0022616898287382736,-0.005586115368125194,0.0032797087605288384,-0.5098857010121122,0.6104863448225535
US,effective,1,"[0,+5]",p0_p5,318,-0.005410821786903241,0.046897767684397317,0.002629896220648775,-0.01056541837937484,-0.00025622519443164234,-2.0574278727882405,0.040462705982463834
US,effective,1,"[0,+20]",p0_p20,318,-0.007400730760966394,0.07978177066057349,0.0044739395390607254,-0.016169652257525417,0.0013681907355926276,-1.654186583513851,0.09907940301032235
US,effective,1,"[0,+60]",p0_p60,318,-0.0031867035417860365,0.1486272271413236,0.008334601032076758,-0.019522521564656482,0.01314911448108441,-0.38234626102936525,0.7024607550326133
US,effective,1,"[0,+120]",p0_p120,318,0.00330409545953639,0.18760160344937904,0.010520175527742977,-0.017315448574839847,0.023923639493912623,0.31407227482308536,0.7536727324562967
