market,event_phase,inclusion,relative_day,mean_ar,std_ar,mean_car,std_car,n_obs,se_ar,se_car,ci_low_95,ci_high_95
CN,announce,1,-10,-0.00012842662779837837,0.018586293409480228,0.01810058443043925,0.09381223783286445,118,0.0017110069953578386,0.008636116499717583,0.0011737960909927875,0.03502737276988571
CN,announce,1,-9,0.001488030783503392,0.029633881697792915,0.01958861521394264,0.10116421872312675,118,0.002728019932078983,0.009312921199602482,0.0013352896627217767,0.037841940765163506
CN,announce,1,-8,0.005214437928877194,0.0273256973770133,0.024803053142819834,0.10968281331434766,118,0.0025155343421649234,0.010097121395686874,0.0050126952072735605,0.044593411078366105
CN,announce,1,-7,0.002435272415495167,0.024486080772720555,0.027238325558315,0.10871981617363673,118,0.0022541264451174706,0.01000847032320216,0.007621723724838766,0.04685492739179123
CN,announce,1,-6,0.005439843131802042,0.023870689652399763,0.03267816869011705,0.11556292444066144,118,0.0021974751005727376,0.010638429501017472,0.011826846868122801,0.0535294905121113
CN,announce,1,-5,-0.00014642452993275453,0.024703927911508335,0.03253174416018429,0.1168375888076668,118,0.002274180899772451,0.010755771867277929,0.011450431300319551,0.05361305702004903
CN,announce,1,-4,0.01174756493064401,0.027527801808925362,0.0442793090908283,0.12167698942969402,118,0.002534139563183224,0.01120127480512589,0.022324810472781554,0.06623380770887505
CN,announce,1,-3,-0.007272616544809759,0.023066104486688038,0.03700669254601854,0.1186441373109985,118,0.002123407032423564,0.010922078137094867,0.0155994193973126,0.05841396569472447
CN,announce,1,-2,-0.0026311493882826826,0.031038032371147772,0.03437554315773586,0.11990670624777158,118,0.002857282479038515,0.011038307028748882,0.012740461381388051,0.056010624934083666
CN,announce,1,-1,0.0036122021974560204,0.024130333632638855,0.03798774535519188,0.12080019506394286,118,0.0022213772663625575,0.011120559341303213,0.01619144904623758,0.05978404166414618
CN,announce,1,0,0.002096837981755997,0.020392328379342156,0.03326627006806728,0.10835638261361376,118,0.001877265990587004,0.009975013552137202,0.013715243505878365,0.052817296630256194
CN,announce,1,1,0.012558727999585169,0.02516824147860855,0.045824998067652445,0.1091614928254101,118,0.00231692442823428,0.010049129954696248,0.026128703356447798,0.0655212927788571
CN,announce,1,2,-0.0008028773298258966,0.018570482946939717,0.04502212073782655,0.11044149320453522,118,0.001709551524306636,0.01016696354068853,0.02509487219807703,0.06494936927757607
CN,announce,1,3,0.0016569301502406713,0.025573182245067754,0.046679050888067224,0.1150920863863916,118,0.0023542022473697437,0.010595085344827327,0.025912683612205663,0.06744541816392878
CN,announce,1,4,0.0024112931444649948,0.02460119129885062,0.04909034403253222,0.12484002048111105,118,0.0022647232279782966,0.011492455415281768,0.026565131418579958,0.07161555664648449
CN,announce,1,5,0.008797409882274728,0.022860297136253486,0.05788775391480695,0.13439387409839856,118,0.002104460930124869,0.012371958929600864,0.03363871441278926,0.08213679341682464
