event_id,matched_to_event_id,market,index_name,event_ticker,security_name,event_phase,event_type,inclusion,treatment_group,batch_id,announce_date,effective_date,event_date,sector,car_p0_p5,car_p0_p20,car_p0_p60,car_p0_p120,pre_event_return,log_mkt_cap,turnover_change,volume_change,volatility_change
US-s-p500-erie-20240906-20240923-add-01,,US,S&P500,ERIE,Erie Indemnity,announce,addition,1,1,sp500-20240923,2024-09-06,2024-09-23,2024-09-06,Financials,0.027549128783249596,0.047823965093075405,-0.20777221834917306,-0.13192317711798673,0.1314793764168447,23.978788321583313,0.0011912441622533598,0.5302801144318732,-0.004683324787534427
US-s-p500-erie-20240906-20240923-add-01,,US,S&P500,ERIE,Erie Indemnity,effective,addition,1,1,sp500-20240923,2024-09-06,2024-09-23,2024-09-23,Financials,0.025660749108846102,-0.1065850472073265,-0.251646754336984,-0.17717111591669482,0.07298624633099826,24.028082435948654,-0.020501996039972124,-2.2590530061864644,-0.0009627741704301349
US-s-p500-esrx-20181224-20181224-del-01,,US,S&P500,ESRX,Express Scripts,announce,deletion,0,1,sp500-20181224,2018-12-24,2018-12-24,2018-12-24,,,,,,-0.031469631200853,,,,
US-s-p500-esrx-20181224-20181224-del-01,,US,S&P500,ESRX,Express Scripts,effective,deletion,0,1,sp500-20181224,2018-12-24,2018-12-24,2018-12-24,,,,,,-0.031469631200853,,,,
US-s-p500-ess-20140402-20140402-add-01,,US,S&P500,ESS,Essex Property Trust,announce,addition,1,1,sp500-20140402,2014-04-02,2014-04-02,2014-04-02,Real Estate,-0.021797882548221695,0.0052339154918005,0.027391382703190952,-0.0025618022806450508,0.020194369824404923,23.137530272436234,-0.05252306249187148,-1.3929687154313886,-0.00697212674224886
US-s-p500-ess-20140402-20140402-add-01,,US,S&P500,ESS,Essex Property Trust,effective,addition,1,1,sp500-20140402,2014-04-02,2014-04-02,2014-04-02,Real Estate,-0.021797882548221695,0.0052339154918005,0.027391382703190952,-0.0025618022806450508,0.020194369824404923,23.137530272436234,-0.05252306249187148,-1.3929687154313886,-0.00697212674224886
US-s-p500-esv-20120726-20120731-add-01,,US,S&P500,ESV,Ensco,announce,addition,1,1,sp500-20120731,2012-07-26,2012-07-31,2012-07-26,,,,,,0.0,,,,
US-s-p500-esv-20120726-20120731-add-01,,US,S&P500,ESV,Ensco,effective,addition,1,1,sp500-20120731,2012-07-26,2012-07-31,2012-07-31,,,,,,0.0,,,,
US-s-p500-esv-20160324-20160330-del-02,,US,S&P500,ESV,Ensco,announce,deletion,0,1,sp500-20160330,2016-03-24,2016-03-30,2016-03-24,,,,,,0.0,,,,
US-s-p500-esv-20160324-20160330-del-02,,US,S&P500,ESV,Ensco,effective,deletion,0,1,sp500-20160330,2016-03-24,2016-03-30,2016-03-30,,,,,,0.0,,,,
US-s-p500-etfc-20201001-20201007-del-01,,US,S&P500,ETFC,E-Trade,announce,deletion,0,1,sp500-20201007,2020-10-01,2020-10-07,2020-10-01,,,,,,0.0,,,,
US-s-p500-etfc-20201001-20201007-del-01,,US,S&P500,ETFC,E-Trade,effective,deletion,0,1,sp500-20201007,2020-10-01,2020-10-07,2020-10-07,,,,,,0.0,,,,
US-s-p500-etsy-20200904-20200921-add-01,,US,S&P500,ETSY,Etsy,announce,addition,1,1,sp500-20200921,2020-09-04,2020-09-21,2020-09-04,,-0.010617764385728902,0.1835418630036445,0.28369638009920395,0.7235985381842418,-0.1106689599616203,23.12360736545632,0.02284137080217652,0.4593020378210486,-0.016109488853536334
US-s-p500-etsy-20200904-20200921-add-01,,US,S&P500,ETSY,Etsy,effective,addition,1,1,sp500-20200921,2020-09-04,2020-09-21,2020-09-21,,0.0948700479673772,0.26234079183761144,0.41595424666098996,0.6304512832487171,-0.1409792978259068,23.084558780795163,-0.04628582140422416,-0.7541055399908849,0.013969805059795868
US-s-p500-etsy-20240906-20240923-del-02,,US,S&P500,ETSY,Etsy,announce,deletion,0,1,sp500-20240923,2024-09-06,2024-09-23,2024-09-06,,-0.017037314660407504,-0.0877807287432984,-0.07855558294823425,-0.14883121758719894,0.041416773972899446,22.38593802910158,-0.0028938276097955212,-0.06447534767949215,0.02840140392951236
US-s-p500-etsy-20240906-20240923-del-02,,US,S&P500,ETSY,Etsy,effective,deletion,0,1,sp500-20240923,2024-09-06,2024-09-23,2024-09-23,,0.020224139013515705,-0.06118283941163717,0.08030780715450844,-0.13521092824488712,0.0022308780413158313,22.355610533934644,-0.07011290047968292,-1.0134155272630796,0.00545134120647286
US-s-p500-evhc-20161129-20161202-add-01,,US,S&P500,EVHC,Envision Healthcare,announce,addition,1,1,sp500-20161202,2016-11-29,2016-12-02,2016-11-29,,0.0967926212999239,-0.021924235319849494,0.04604496118708506,-0.22315649762697123,0.11554328445041961,,,1.9271632617498646,-0.003377109554148508
