event_id,market,ticker,announce_date,effective_date,sector,batch_id,gap_length_days,pre_announce_runup,announce_jump,gap_drift,effective_jump,post_effective_reversal
US-s-p500-alb-20160623-20160701-add-01,US,ALB,2016-06-23,2016-07-01,Materials,sp500-20160701,8,0.0886796129892085,-0.0306360650709798,-0.011419440177602002,0.0016170680592888006,0.011474937972109798
US-s-p500-algn-20170609-20170619-add-01,US,ALGN,2017-06-09,2017-06-19,Health Care,sp500-20170619,10,0.08938586188007629,-0.0365300042945707,0.041509085831641104,0.019138700692546702,0.051564785487812806
US-s-p500-alk-20160510-20160513-add-01,US,ALK,2016-05-10,2016-05-13,,sp500-20160513,3,-0.13729522456941892,-0.0166924004350975,-0.0298600017098602,-0.019900840149375,-0.0310506166532018
US-s-p500-alle-20131122-20131202-add-01,US,ALLE,2013-11-22,2013-12-02,Industrials,sp500-20131202,10,-0.1021011161389328,-0.022201492124558096,-0.0827786141762593,-0.0011785286300502,0.0015499497527645956
US-s-p500-alxn-20120521-20120521-add-01,US,ALXN,2012-05-21,2012-05-21,,sp500-20120521,0,0.0,0.0,0.0,0.0,0.0
US-s-p500-amcr-20190610-20190611-add-01,US,AMCR,2019-06-10,2019-06-11,Materials,sp500-20190611,1,-0.048134926579433905,-0.0121173771375661,0.0056153585109337,0.0039956788362623,-0.0595289946768854
US-s-p500-amd-20170310-20170320-add-02,US,AMD,2017-03-10,2017-03-20,Information Technology,sp500-20170320,10,-0.034964986666743705,0.0739959346328072,-0.019454602159289597,0.031190172519603702,-0.05782449351647002
US-s-p500-ame-20130911-20130920-add-01,US,AME,2013-09-11,2013-09-20,Industrials,sp500-20130920,9,-0.028001019057402897,0.0320423663781111,-0.0008846682867402018,0.019239660762290802,-0.0233622023772979
US-s-p500-amg-20140624-20140701-add-01,US,AMG,2014-06-24,2014-07-01,,sp500-20140701,7,0.037958892437061895,0.0047278707326364,0.0013368013456946004,0.0094101932835873,0.0013177150388168973
US-s-p500-amtm-20240924-20240930-add-01,US,AMTM,2024-09-24,2024-09-30,,sp500-20240930,6,0.0,-0.0493078536510225,-0.027886343861676016,0.011509466538238589,0.1685225431769288
US-s-p500-anet-20180823-20180828-add-01,US,ANET,2018-08-23,2018-08-28,Information Technology,sp500-20180828,5,0.0116266595243414,0.1270560683359587,-0.0344663913359147,-0.0344663913359147,-0.128760255810172
US-s-p500-anr-20110601-20110601-add-01,US,ANR,2011-06-01,2011-06-01,,sp500-20110601,0,0.0,0.0,0.0,0.0,0.0
US-s-p500-anss-20170609-20170619-add-01,US,ANSS,2017-06-09,2017-06-19,,sp500-20170619,10,0.0,0.0,0.0,0.0,0.0
US-s-p500-aos-20170719-20170726-add-01,US,AOS,2017-07-19,2017-07-26,Industrials,sp500-20170726,7,-0.006330108446622899,-0.0221171991505918,-0.047863617082455595,-0.024794187823099802,0.018621680320469403
