market,event_phase,inclusion,window,window_slug,n_events,mean_car,std_car,se_car,ci_low_95,ci_high_95,t_stat,p_value
CN,effective,1,"[0,+120]",p0_p120,137,-0.013959291970802866,0.23291275355481847,0.019899079457945588,-0.05296148770837622,0.025042903766770486,-0.7015044087996242,0.48418696357205704
US,announce,0,"[0,+5]",p0_p5,115,0.0021407605130633646,0.05317404262973263,0.00495850504258011,-0.0075779093703936505,0.01185943039652038,0.4317350682675601,0.6667494051492435
US,announce,0,"[0,+20]",p0_p20,115,0.009171719114196482,0.13985082464714257,0.013041156641983343,-0.016388947904090873,0.03473238613248383,0.7032903112803663,0.48330870705298373
US,announce,0,"[0,+60]",p0_p60,115,0.012422126055129776,0.23837158143314277,0.022228264583425316,-0.031145272528383845,0.055989524638643394,0.5588437193784546,0.5773644985217885
US,announce,0,"[0,+120]",p0_p120,116,0.05838627500017929,0.3505834101147099,0.03255085245025756,-0.005413395802325527,0.1221859458026841,1.7936941924762806,0.07548995141851297
US,announce,1,"[0,+5]",p0_p5,257,0.008180008861415098,0.07254787439358094,0.004525412068872886,-0.0006897987935757591,0.017049816516405955,1.8075721584957096,0.07184685285403415
US,announce,1,"[0,+20]",p0_p20,259,0.0025913604807624455,0.09930170785361783,0.006170307897252204,-0.009502442997851874,0.014685163959376763,0.4199726373324813,0.6748549723322067
US,announce,1,"[0,+60]",p0_p60,259,0.003997514205811346,0.16678542220641962,0.01036354187688143,-0.01631502787287626,0.02431005628449895,0.3857285716892638,0.7000155591998107
US,announce,1,"[0,+120]",p0_p120,259,0.019193985972498318,0.20022202188881422,0.012441191088933965,-0.0051907485618122515,0.04357872050680889,1.5427772015792558,0.12411047810258827
US,effective,0,"[0,+5]",p0_p5,107,0.009249308163012709,0.10331254287869877,0.009987600497693282,-0.010326388812466124,0.028825005138491542,0.9260791083052341,0.3565085381043161
US,effective,0,"[0,+20]",p0_p20,107,0.01758612915892232,0.17529536357371558,0.01694644243272369,-0.01562889800921611,0.05080115632706075,1.0377475525460957,0.3017490804525027
US,effective,0,"[0,+60]",p0_p60,107,0.02164062463147708,0.28665317866730067,0.027711808751860554,-0.03267452052216961,0.07595576978512376,0.7809170749283603,0.4365918202953999
US,effective,0,"[0,+120]",p0_p120,108,0.05920544813176911,0.38427085634057057,0.036976480391659405,-0.013268453435883322,0.13167934969942155,1.6011650515316158,0.11228874205889752
US,effective,1,"[0,+5]",p0_p5,259,-0.006811469952866742,0.05195632670845231,0.003228409056911291,-0.013139151704412872,-0.00048378820132061184,-2.1098534395091386,0.035834096565197385
US,effective,1,"[0,+20]",p0_p20,259,-0.009282909151672205,0.08838324198693528,0.005491867439184942,-0.02004696933247469,0.0014811510291302815,-1.690301023188917,0.0921781590414764
US,effective,1,"[0,+60]",p0_p60,259,-0.005015436734063147,0.16593878868270207,0.010310934629429317,-0.02522486860774461,0.015193995139618314,-0.486419215552794,0.6270828890474014
US,effective,1,"[0,+120]",p0_p120,259,0.003431370793390865,0.20831844260568716,0.012944278193563025,-0.021939414465992662,0.028802156052774395,0.26508784360778254,0.7911534631752681
