market,event_phase,inclusion,window,window_slug,sample_filter,n_events,mean_car,std_car,se_car,ci_low_95,ci_high_95,t_stat,p_value,se_car_clustered,p_value_clustered
US,announce,1,"[0,+60]",p0_p60,baseline,259,0.003997514205811346,0.16678542220641962,0.01036354187688143,-0.01631502787287626,0.02431005628449895,0.3857285716892638,0.7000155591998107,0.01026895055453168,0.6970677953627997
US,announce,1,"[0,+120]",p0_p120,baseline,259,0.019193985972498318,0.20022202188881422,0.012441191088933965,-0.0051907485618122515,0.04357872050680889,1.5427772015792558,0.12411047810258827,0.01222575111853252,0.11642354680565958
US,effective,0,"[0,+5]",p0_p5,baseline,107,0.009249308163012709,0.10331254287869877,0.009987600497693282,-0.010326388812466124,0.028825005138491542,0.9260791083052341,0.3565085381043161,0.010225385878157685,0.36570718425047477
US,effective,0,"[0,+20]",p0_p20,baseline,107,0.01758612915892232,0.17529536357371558,0.01694644243272369,-0.01562889800921611,0.05080115632706075,1.0377475525460957,0.3017490804525027,0.017923651706486507,0.3265094708381896
US,effective,0,"[0,+60]",p0_p60,baseline,107,0.02164062463147708,0.28665317866730067,0.027711808751860554,-0.03267452052216961,0.07595576978512376,0.7809170749283603,0.4365918202953999,0.03132040027176893,0.4896010952198179
US,effective,0,"[0,+120]",p0_p120,baseline,108,0.05920544813176911,0.38427085634057057,0.036976480391659405,-0.013268453435883322,0.13167934969942155,1.6011650515316158,0.11228874205889752,0.043019485912902444,0.16874510565791856
US,effective,1,"[0,+5]",p0_p5,baseline,259,-0.006811469952866742,0.05195632670845231,0.003228409056911291,-0.013139151704412872,-0.00048378820132061184,-2.1098534395091386,0.035834096565197385,0.0034497163500822868,0.04832475215048991
US,effective,1,"[0,+20]",p0_p20,baseline,259,-0.009282909151672205,0.08838324198693528,0.005491867439184942,-0.02004696933247469,0.0014811510291302815,-1.690301023188917,0.0921781590414764,0.005568188834626905,0.09548804029940033
US,effective,1,"[0,+60]",p0_p60,baseline,259,-0.005015436734063147,0.16593878868270207,0.010310934629429317,-0.02522486860774461,0.015193995139618314,-0.486419215552794,0.6270828890474014,0.009752886667013632,0.6070761559363393
US,effective,1,"[0,+120]",p0_p120,baseline,259,0.003431370793390865,0.20831844260568716,0.012944278193563025,-0.021939414465992662,0.028802156052774395,0.26508784360778254,0.7911534631752681,0.0126677894798934,0.7864881864138694
CN,announce,0,"[-5,+5]",m5_p5,winsorized_1pct,137,-0.01954807824817511,0.060277865451818194,0.005149885593958146,-0.029641854012333074,-0.009454302484017144,-3.7958276725814932,0.0002208053552883411,0.007824588443323725,0.012479463385225688
CN,announce,0,"[-3,+3]",m3_p3,winsorized_1pct,137,-0.017324905693430575,0.03803202535331866,0.00324929520990858,-0.02369352430485139,-0.010956287082009759,-5.331896480381054,3.9411760684952564e-07,0.0032009203796857567,6.21590839566055e-08
CN,announce,0,"[-1,+1]",m1_p1,winsorized_1pct,137,-0.010965434744525488,0.02818621024135517,0.0024081104561716384,-0.015685331238621897,-0.006245538250429077,-4.553543097004818,1.15973699907525e-05,0.0032707851856100486,0.0008007397234264716
CN,announce,1,"[-5,+5]",m5_p5,winsorized_1pct,137,0.033429695474452535,0.06932941273177559,0.005923211467239837,0.021820200998662456,0.045039189950242614,5.643846359250528,9.293662044609831e-08,0.009644787015084087,0.0005280873620621896
