market,event_phase,outcome,spec,coef,se,t,p_value,n_obs,r_squared
CN,effective,volume_change,no_fe,10528143.957583137,4206049.000028496,2.503095888210482,0.0123112184257867,548,0.020633974930495
CN,effective,volume_change,controls,11350181.213022612,3070554.991822043,3.6964591884047335,0.0002186273855401,548,0.0251746575792318
CN,effective,volume_change,controls_fe,11677945.80878186,3176358.911699591,3.676519604182035,0.0002364376930384,548,0.1117664120781786
CN,effective,volatility_change,no_fe,-0.0001048658252269,0.0011223987483469,-0.0934300981548376,0.9255618802190154,548,1.7952358256634326e-05
CN,effective,volatility_change,controls,0.0010919805507652,0.0011076873936886,0.9858201483443144,0.3242213768016405,548,0.0428706895852698
CN,effective,volatility_change,controls_fe,0.0011328217541361,0.0011646435955413,0.9726767557671796,0.3307139812566746,548,0.1213870970038373
CN,effective,price_limit_hit_share,no_fe,0.0013271400132713,0.0022919703382395,0.5790389129951677,0.56256291689598,548,0.0006866559853513
CN,effective,price_limit_hit_share,controls,0.0011555155178921,0.0021870957231142,0.5283333078109473,0.5972680175589575,548,0.0021568118121418
CN,effective,price_limit_hit_share,controls_fe,0.0011806708287878,0.0022218153848415,0.5313991598235536,0.595142203607893,548,0.0664828953188414
US,announce,car_1_1,no_fe,0.0129795674959146,0.0032082541807893,4.045679289887548,5.217161803926427e-05,1071,0.0180858081271317
US,announce,car_1_1,controls,0.0148261180718422,0.0035154457391475,4.217421963519582,2.471112960448934e-05,1002,0.0689000307459323
US,announce,car_1_1,controls_fe,0.0148588325493929,0.0038657493149391,3.8437134275549902,0.0001211865105424,1002,0.0812430383818709
US,announce,turnover_change,no_fe,0.0302035319990692,0.0014755067844725,20.46993773049055,3.99130057603671e-93,1002,0.4786895092387493
US,announce,turnover_change,controls,0.0311638615075155,0.0013986663184975,22.28112673864304,5.632313359678528e-110,1002,0.5175410148193449
US,announce,turnover_change,controls_fe,0.0307679239640635,0.00140041575189,21.970564043240586,5.508028828808814e-107,1002,0.522163471701387
US,announce,volume_change,no_fe,8745621.9115299,1002791.2039279706,8.721279043207572,2.750765978340265e-18,1006,0.1691189597110843
US,announce,volume_change,controls,8506963.799830483,926082.5370510748,9.185967189187275,4.0784547364340163e-20,1002,0.2013044125824512
US,announce,volume_change,controls_fe,9321930.746467585,1025643.4696467632,9.088860819908602,1.0008214014570322e-19,1002,0.2196552372842027
US,announce,volatility_change,no_fe,0.005905006906248,0.001130148436268,5.224983477168283,1.7417066165251542e-07,1000,0.0326067111140446
US,announce,volatility_change,controls,0.0060174248326344,0.0010797509769706,5.572974658950243,2.5042600969915312e-08,996,0.0651674663406387
US,announce,volatility_change,controls_fe,0.0055100020786794,0.0011722083461998,4.7005313488357645,2.5948541552283573e-06,996,0.0745499514723739
US,announce,price_limit_hit_share,no_fe,0.0030284807026895,0.0027445744366214,1.103442727688443,0.2698349500937907,1071,0.0012850971352941
US,announce,price_limit_hit_share,controls,0.0055670660898545,0.0032739840035654,1.700395018360498,0.0890566482368619,1002,0.0423157667032192
US,announce,price_limit_hit_share,controls_fe,0.0047055906352313,0.0032701668329995,1.4389451289600064,0.1501660698397086,1002,0.0633345350405935
US,effective,car_1_1,no_fe,-0.0002464223152141,0.0025724474278273,-0.0957929450952057,0.9236850205910976,1071,1.002931802751572e-05
US,effective,car_1_1,controls,0.0003570990280103,0.0040969251151237,0.0871626934776391,0.9305421927502444,1004,0.0018636570019314
US,effective,car_1_1,controls_fe,0.0018720470231047,0.0046871521568135,0.3993996696658219,0.6895987373191389,1004,0.0118300465992562
US,effective,turnover_change,no_fe,0.0025937427816867,0.0013518729746446,1.9186290652556088,0.0550312945069282,1004,0.0089608049216864
US,effective,turnover_change,controls,0.0069391112543027,0.0014656735173429,4.734418117127689,2.196844371554521e-06,1004,0.206394542917609
US,effective,turnover_change,controls_fe,0.0065890850968755,0.0013737342407236,4.796477296368739,1.6148025024757974e-06,1004,0.2170272199820112
US,effective,volume_change,no_fe,437797.4448181152,735797.1195512188,0.5949974975236909,0.5518451437491619,1008,0.0008681278275446
US,effective,volume_change,controls,2596554.291974929,639523.3996371299,4.060139618735191,4.904338050582699e-05,1004,0.1738028972563186
US,effective,volume_change,controls_fe,2914983.51498194,753213.0438832943,3.870065101306979,0.0001088062941413,1004,0.1918375913450112
US,effective,volatility_change,no_fe,0.0030582101295958,0.0011711160771392,2.6113638001336055,0.0090181901948822,1008,0.0082363445777022
US,effective,volatility_change,controls,0.0059166542096954,0.0013454572419745,4.397504450615262,1.0950264009321768e-05,1004,0.0662046676706135
US,effective,volatility_change,controls_fe,0.0061040595217693,0.0012963975190716,4.708478249896867,2.495729900907192e-06,1004,0.0753392759471626
US,effective,price_limit_hit_share,no_fe,0.0053416978170792,0.0024597251583583,2.171664504437695,0.0298809777301379,1071,0.0056154877679546
US,effective,price_limit_hit_share,controls,0.0072301467813947,0.0041116662835855,1.7584468881287088,0.0786715010525196,1004,0.0271153605368754
US,effective,price_limit_hit_share,controls_fe,0.0057417396296771,0.0039875429657448,1.4399191880819238,0.149890263701214,1004,0.0475034621426379
