market,inclusion,event_phase,announce_year,n_events,mean_car_m1_p1,mean_car_m3_p3,mean_car_m5_p5,se_car_m1_p1,ci_low_95_car_m1_p1,ci_high_95_car_m1_p1,se_car_m3_p3,ci_low_95_car_m3_p3,ci_high_95_car_m3_p3,se_car_m5_p5,ci_low_95_car_m5_p5,ci_high_95_car_m5_p5
CN,1,effective,2024,28,-0.010777285714285692,-0.025802428571428532,-0.020859857142857135,0.008713211912850865,-0.027855181063473386,0.006300609634902003,0.011903963726004146,-0.04913419747439666,-0.002470659668460405,0.011690179767618809,-0.04377260948739,0.0020528952016757307
CN,1,effective,2025,18,0.0062756666666666724,0.013169222222222323,0.013781833333333583,0.007932399602325902,-0.009271836553892096,0.021823169887225442,0.011172225601576423,-0.008728339956867467,0.03506678440131211,0.013162146908347749,-0.012015974607028003,0.03957964127369517
US,0,announce,2010,11,0.019568809193235632,0.0132470966287297,0.021717597932196863,0.0030726114305164092,0.013546490789423469,0.025591127597047795,0.011531328748792377,-0.00935430771890336,0.03584850097636276,0.016942071287329986,-0.011488861790969907,0.05492405765536364
US,0,announce,2011,15,-0.012226447745115067,-0.0060056472597862336,-0.004778696672864634,0.0046310217923447,-0.021303250458110677,-0.003149645032119454,0.012615020097446122,-0.030731086650780632,0.018719792131208165,0.009376562599467947,-0.02315675936782181,0.013599366022092541
US,0,announce,2012,17,-0.11634489510958505,-0.10566388441003122,-0.08375172931671328,0.047197514629985164,-0.20885202378435597,-0.02383776643481414,0.038842950180517005,-0.18179606676384455,-0.029531702056217884,0.04524429567676672,-0.17243054884317605,0.0049270902097495045
US,0,announce,2013,17,-0.012984777684404281,-0.01696154316446506,-0.008441437298527782,0.0052367001067390485,-0.023248709893612815,-0.002720845475195747,0.01749273592680487,-0.0512473055810026,0.017324219252072486,0.023200181481682725,-0.05391379300262592,0.03703091840557036
US,0,announce,2014,14,0.006601980305514099,0.009766938720602537,0.02404919846683912,0.007071378674493859,-0.007257921896493864,0.02046188250752206,0.009480655996536868,-0.008815147032609725,0.0283490244738148,0.007883459835616051,0.00859761718903166,0.03950077974464658
US,0,announce,2015,26,0.022008255573613574,0.01955323290547135,3.082931046862608e-05,0.01037677573843926,0.0016697751262726226,0.042346736020954526,0.01374616763791729,-0.007389255664846536,0.04649572147578924,0.020429243146608888,-0.040010487256884796,0.04007214587782205
US,0,announce,2016,28,0.04531819982883927,0.0753196062069968,0.08439538193302525,0.012050750667333491,0.02169872852086563,0.06893767113681291,0.021050654577829248,0.03406032323445148,0.11657888917954212,0.019557488561460574,0.046062704352562524,0.12272805951348797
US,0,announce,2017,29,0.009963942598513718,-0.0032929191913265367,-0.003107974253448836,0.0033754836005712454,0.003347994741394077,0.016579890455633357,0.007911002930063839,-0.01879848493425166,0.012212646551598587,0.012653030246859178,-0.027907913537292828,0.021691965030395152
US,0,announce,2018,23,-0.0004163782875778228,-0.008839069028442944,-0.03179579722276994,0.005401610277636429,-0.011003534431745223,0.010170777856589578,0.0166944269749401,-0.04156014589932554,0.023882007842439653,0.02190970786189921,-0.07473882463209239,0.011147230186552504
US,0,announce,2019,23,-0.044458338266853734,-0.06860286211820447,-0.07241724849291861,0.0395261612303424,-0.12192961427832484,0.033012937744617374,0.03841216364442919,-0.1438907028612857,0.006684978624876742,0.03556161917706294,-0.142118022079962,-0.0027164749058752463
US,0,announce,2020,15,0.06494187508654799,0.01715848302779816,0.022782609875575916,0.01670554437896058,0.03219900810378525,0.09768474206931071,0.01586679032541623,-0.013940426010017652,0.04825739206561397,0.020431858606337554,-0.01726383299284569,0.06282905274399753
US,0,announce,2021,17,-0.004743806761473709,-0.006221090518103521,0.01460363308014847,0.014651792261076588,-0.03346131959318382,0.0239737060702364,0.014673180193730838,-0.034980523697815964,0.02253834266160892,0.014073994445582012,-0.012981396033192273,0.04218866219348921
US,0,announce,2022,15,0.010704679152157025,0.004827461681724501,0.0009327064016506487,0.010022536155852704,-0.008939491713314276,0.030348850017628326,0.014981646394473575,-0.024536565251443706,0.03419148861489271,0.014177610132530835,-0.02685540945810979,0.028720822261411087
US,0,announce,2023,13,-0.005575995528681488,-0.0147927869285287,-0.051459733672663134,0.012718477633809906,-0.030504211690948902,0.019352220633585927,0.014097112560385774,-0.04242312754688482,0.012837553689827415,0.024498296249383447,-0.09947639432145469,-0.003443073023871576
US,0,announce,2024,13,0.003958365660619266,-0.0017156758957316337,0.007995085430703456,0.008684982726137033,-0.013064200482609319,0.02098093180384785,0.010369804996453735,-0.022040493688780954,0.018609141897317685,0.009603381831640011,-0.010827542959310965,0.026817713820717876
