market,inclusion,event_phase,announce_year,n_events,mean_car_m1_p1,mean_car_m3_p3,mean_car_m5_p5,se_car_m1_p1,ci_low_95_car_m1_p1,ci_high_95_car_m1_p1,se_car_m3_p3,ci_low_95_car_m3_p3,ci_high_95_car_m3_p3,se_car_m5_p5,ci_low_95_car_m5_p5,ci_high_95_car_m5_p5
CN,0,effective,2024,19,-0.009575047736226298,-0.017991671896751195,-0.02824633111544412,0.00919197904802474,-0.02759132667035479,0.008441231197902192,0.017174384071028715,-0.05165346467596747,0.015670120882465083,0.02154011140402577,-0.07046494946733461,0.013972287236446383
CN,0,effective,2025,11,-0.0070509577667717364,-0.0062402966015999645,0.000916966602700255,0.01205469371972714,-0.030678157457436933,0.01657624192389346,0.014697889388157125,-0.03504815980238793,0.022567566599188002,0.021329878737288577,-0.040889595722385354,0.042723528927785866
CN,1,announce,2020,21,-0.004011804513513344,-0.0010953068365431428,0.0020102790159037703,0.008370438941410725,-0.020417864838678364,0.012394255811651676,0.008077332798811196,-0.016926879122213086,0.014736265449126802,0.01109102623555868,-0.019728132405791243,0.023748690437598786
CN,1,announce,2021,28,0.0220568966723416,-0.0017241916871374272,0.00769134580205534,0.008650584902306713,0.00510175026382044,0.03901204308086276,0.013910966112629463,-0.028989685267891176,0.025541301893616322,0.017221619509202847,-0.02606302843598224,0.04144572004009292
CN,1,announce,2022,28,0.014597477804831921,0.005593322078426082,0.04748105552611187,0.005366986842385768,0.004078183593755816,0.025116772015908027,0.009953604148831728,-0.013915742053284105,0.02510238621013627,0.013511907608207913,0.020997716614024362,0.07396439443819938
CN,1,announce,2023,14,0.024430215291632286,0.01892897280505124,0.06704840689150013,0.0111763242276282,0.002524619805481014,0.04633581077778356,0.017694179446019392,-0.01575161890914677,0.05360956451924925,0.015278711366212833,0.03710213261372297,0.09699468116927729
CN,1,announce,2024,17,0.02607336038663262,0.028271285143176447,0.04503293484926431,0.007986894543627665,0.010419047081122394,0.04172767369214284,0.006758047822701944,0.015025511410680635,0.04151705887567226,0.01285908659478773,0.019829125123480357,0.07023674457504826
CN,1,announce,2025,10,0.03585581148316393,0.0398612579896004,0.041153073523151805,0.011235449024060783,0.013834331396004793,0.057877291570323064,0.013986436826853757,0.012447841808967037,0.06727467417023376,0.013610697129480062,0.014476107149370886,0.06783003989693273
CN,1,effective,2020,21,-0.004011804513513344,-0.0010953068365431428,0.0020102790159037703,0.008370438941410725,-0.020417864838678364,0.012394255811651676,0.008077332798811196,-0.016926879122213086,0.014736265449126802,0.01109102623555868,-0.019728132405791243,0.023748690437598786
CN,1,effective,2021,28,0.013264501534257641,-0.0015568059516714778,-0.0004932713353214891,0.008241787212986533,-0.0028894014031959642,0.02941840447171125,0.009577889388303874,-0.02032946915274707,0.017215857249404113,0.014936138212728519,-0.029768102232269385,0.028781559561626407
CN,1,effective,2022,28,0.004881359530652459,-0.03957975595830221,0.011461843775293754,0.010581272354830163,-0.015857934284814662,0.025620653346119578,0.013165654604579717,-0.06538443898327845,-0.013775072933325964,0.0197763257820678,-0.027299754757559136,0.05022344230814664
CN,1,effective,2023,14,0.026645852722674484,0.02226287328417165,0.03804090122217921,0.015452119942554547,-0.0036403023647324263,0.0569320078100814,0.014542081363797468,-0.0062396061888713855,0.050765352757214686,0.017114887054326833,0.004495722595698616,0.0715860798486598
CN,1,effective,2024,17,-0.022459315429514636,-0.0192034027204184,-0.010029656945121082,0.011461598281024195,-0.04492404806032206,5.41720129278514e-06,0.013701079048017019,-0.046057517654531754,0.007650712213694958,0.011023361426793268,-0.031635445341635884,0.011576131451393723
CN,1,effective,2025,10,0.01026970241909268,0.007107094841034239,0.014549739010854513,0.012194345006002312,-0.013631213792671851,0.034170618630857214,0.01809626815981704,-0.02836159075220716,0.04257578043427564,0.02009159506120594,-0.024829787309109133,0.053929265330818155
US,0,announce,2010,11,0.019568828213072268,0.013246874131067501,0.0217173497268619,0.003072535336495182,0.01354665895354171,0.025590997472602826,0.011531298384191658,-0.009354470701948147,0.03584821896408315,0.016942041317287753,-0.011489051255022094,0.054923750708745896
US,0,announce,2011,15,-0.012226480549157698,-0.006005539819604434,-0.004778564978142434,0.004631007917057573,-0.021303256066590538,-0.0031497050317248563,0.01261499111989972,-0.030730922414607884,0.018719842775399016,0.009376575173907165,-0.023156652319000475,0.013599522362715607
US,0,announce,2012,17,-0.11634478147077044,-0.10566380103000012,-0.0837517182745354,0.04719753980894091,-0.20885195949629465,-0.023837603445246255,0.038842971141336106,-0.18179602446701887,-0.029531577592981348,0.045244297948938424,-0.1724305422544547,0.004927105705383905
US,0,announce,2013,17,-0.012984673308659581,-0.01696164026197492,-0.008441563151302265,0.005236680245657357,-0.023248566590147998,-0.002720780027171162,0.01749275210051694,-0.05124743437898812,0.017324153855038278,0.023200169843690967,-0.05391389604493656,0.037030769742332034
US,0,announce,2014,14,0.006601971232817019,0.009766935919011937,0.024049366584936057,0.0070714082990834615,-0.0072579890333865655,0.020461931499020605,0.009480667252128889,-0.008815171895160685,0.02834904373318456,0.007883449904108629,0.008597804772883145,0.03950092839698897
US,0,announce,2015,26,0.022008202088146998,0.01955310304582995,3.083324556607536e-05,0.010376772605303173,0.0016697277817527799,0.04234667639454122,0.013746108754995254,-0.007389270113960747,0.046495476205620646,0.020429251954514907,-0.04001050058528314,0.04007216707641529
US,0,announce,2016,28,0.04531824002262503,0.07531961072512743,0.0843953317174551,0.012050747815982907,0.021698774303298533,0.06893770574195153,0.021050657946584988,0.03406032114982085,0.116578900300434,0.019557479355278764,0.046062672181108724,0.12272799125380147
US,0,announce,2017,29,0.010949386977608874,0.0011598178674769241,0.0033473885847168836,0.0032802405308783563,0.004520115537087296,0.017378658418130452,0.008068365379746182,-0.01465417827682559,0.01697381401177944,0.012758838524153038,-0.021659934922623074,0.02835471209205684
US,0,announce,2018,23,-0.0004164416079285227,-0.008839093318043474,-0.03179578300173214,0.005401614509482057,-0.011003606046513355,0.010170722830656308,0.016694431812674028,-0.041560179670884566,0.02388199303479762,0.021909678882513498,-0.0747387536114586,0.01114718760799431
US,0,announce,2019,23,-0.04445837809304696,-0.06860290290374674,-0.07241723994300468,0.03952615878787512,-0.1219296493172822,0.03301289313118828,0.03841217618802171,-0.1438907682322693,0.006684962424775814,0.035561624765567956,-0.14211802448351787,-0.002716455402491491
US,0,announce,2020,15,0.06494183505064705,0.017158364853050185,0.0227826195786703,0.0167055525008264,0.0321989521490273,0.0976847179522668,0.01586680599283386,-0.013940574892904182,0.048257304599004555,0.020431840315011905,-0.017263787438753033,0.06282902659609363
US,0,announce,2021,17,-0.00474389446145982,-0.0062210863255592105,0.014603572263437786,0.01465178714494963,-0.03346139726556109,0.023973608342641454,0.014673176551200427,-0.03498051236591205,0.022538339714793625,0.014074008014725189,-0.012981483445423584,0.04218862797229916
US,0,announce,2022,15,0.010704644653404,0.004827430195056801,0.0009327043071840485,0.010022548879440044,-0.008939551150298486,0.030348840457106487,0.014981660955132859,-0.024536625277003603,0.0341914856671172,0.014177611039730257,-0.026855413330687253,0.02872082194505535
US,0,announce,2023,13,-0.005576029472534624,-0.014792696305447038,-0.05145973163892305,0.012718477312998636,-0.030504245006011954,0.019352186060942703,0.014097110745069467,-0.042423033365783194,0.012837640754889116,0.024498295433778277,-0.09947639068912847,-0.0034430725887176286
US,0,announce,2024,13,-0.0034942847663410005,-0.005883295829978975,0.0030944005832493886,0.0065007013721564404,-0.016235659455767625,0.009247089923085622,0.01044758183939118,-0.026360556235185687,0.014593964575227738,0.009295035061098625,-0.015123868136503916,0.021312669303002692
US,0,announce,2025,17,0.029298897682703162,0.0328800088097358,0.03157813656339577,0.011281237968491403,0.0071876712644600126,0.05141012410094631,0.01856913981978589,-0.003515505237044546,0.06927552285651614,0.019112219006633846,-0.005881812689606573,0.06903808581639811
US,0,effective,2010,11,0.0385968358419759,0.0427775990229243,0.012974234822945631,0.012479378236654699,0.014137254498132693,0.06305641718581911,0.00958115969949488,0.023998526011914337,0.061556672033934265,0.009966300423939567,-0.006559714007975918,0.03250818365386718
US,0,effective,2011,15,0.10235680000305454,0.12640060424146143,0.10876460045096063,0.050060566754925664,0.004238089163400238,0.20047551084270884,0.04680593588700404,0.03466096990293352,0.21814023857998935,0.05044146945451899,0.009899320320103419,0.20762988058181786
US,0,effective,2012,17,-0.08989064711759889,-0.06225127530649842,-0.10662696058516563,0.05058759883619038,-0.18904234083653204,0.009261046601334241,0.04690355818055301,-0.15418224934038233,0.029679698727385476,0.0405310338141183,-0.1860677868608375,-0.027186134309493765
US,0,effective,2013,17,0.01308083597747938,0.01585583615802888,0.012705278469048481,0.00585223319207465,0.0016104589210130665,0.024551213033945692,0.004688841853319758,0.006665706125522156,0.025045966190535604,0.004356193744503156,0.004167138729822295,0.02124341820827467
US,0,effective,2014,14,-0.012816422702242,0.00862871193649178,0.02735210584131158,0.004416554641479351,-0.02147286979954153,-0.004159975604942473,0.01242798205418405,-0.015730132889708957,0.03298755676269252,0.015686748344353834,-0.0033939209136219332,0.05809813259624509
US,0,effective,2015,26,-0.03726625690818683,-0.009913652312196378,-0.01605924714462585,0.01060915488238803,-0.05806020047766737,-0.01647231333870629,0.024850912622809494,-0.058621441052902984,0.038794136428510234,0.025293959442669028,-0.06563540765225714,0.03351691336300544
US,0,effective,2016,28,0.034282086495683095,0.08661349793494684,0.11934871978747824,0.017108011050621305,0.0007503848364653343,0.06781378815490086,0.017160033917945367,0.052979831455773924,0.12024716441411976,0.031594165594363705,0.057424155222525385,0.1812732843524311
