market,event_phase,inclusion,window,window_slug,sample_filter,n_events,mean_car,std_car,se_car,ci_low_95,ci_high_95,t_stat,p_value
US,effective,0,"[0,+5]",p0_p5,baseline,107,0.008339555728792861,0.10353814327113141,0.010009410110824046,-0.011278888088422267,0.02795799954600799,0.8331715492179277,0.40662140152937354
US,effective,0,"[0,+20]",p0_p20,baseline,107,0.015585619859882452,0.1748984889159892,0.01690807511140353,-0.017554207358468465,0.04872544707823337,0.9217855821666443,0.3587337049981376
US,effective,0,"[0,+60]",p0_p60,baseline,107,0.016066773794585893,0.28510785963445295,0.02756241712223349,-0.03795556376499175,0.07008911135416353,0.5829232510099948,0.5611830431216711
US,effective,0,"[0,+120]",p0_p120,baseline,108,0.05651736353011217,0.3850845141371596,0.03705477464964089,-0.01610999478318397,0.1291447218434083,1.5252383549621693,0.13015007203656298
US,effective,1,"[0,+5]",p0_p5,baseline,258,-0.0066691524350202735,0.05200437196715457,0.0032376507798824654,-0.013014947963589905,-0.00032335690645064145,-2.059873929720852,0.04041763323020334
US,effective,1,"[0,+20]",p0_p20,baseline,258,-0.009121830937935324,0.08851775551926562,0.005510874746673275,-0.019923145441414943,0.0016794835655442944,-1.6552419275073995,0.09909602199009813
US,effective,1,"[0,+60]",p0_p60,baseline,258,-0.003927797388713023,0.1650585992603508,0.01027609953561414,-0.024068952478516738,0.01621335770109069,-0.3822264834142912,0.7026092622251059
US,effective,1,"[0,+120]",p0_p120,baseline,258,0.004072489752451831,0.20834539265685964,0.012971017579953446,-0.021350704704256922,0.029495684209160586,0.3139684089817144,0.7537997321219408
CN,announce,0,"[-5,+5]",m5_p5,winsorized_1pct,117,-0.011251887273409592,0.06398612895620728,0.005915519714616832,-0.022846305914058583,0.0003425313672393987,-1.9020961498288937,0.05963843212728575
CN,announce,0,"[-3,+3]",m3_p3,winsorized_1pct,117,-0.011806940152614331,0.04296410621253141,0.003972033024455459,-0.01959212488054703,-0.004021755424681631,-2.9725181235704823,0.003592473769724845
CN,announce,0,"[-1,+1]",m1_p1,winsorized_1pct,117,-0.006097688811055562,0.029659355250973615,0.0027420083629381407,-0.011472025202414318,-0.000723352419696806,-2.2238038707225942,0.028098124030517684
CN,announce,1,"[-5,+5]",m5_p5,winsorized_1pct,117,0.03145769416943931,0.06876565560910056,0.006357387109987434,0.018997215433863943,0.04391817290501468,4.94821121086356,2.5598972781995825e-06
CN,announce,1,"[-3,+3]",m3_p3,winsorized_1pct,117,0.010802113059675057,0.05334952089995423,0.004932164951954429,0.0011350697538443765,0.02046915636550574,2.1901362109542974,0.03051525698246828
CN,announce,1,"[-1,+1]",m1_p1,winsorized_1pct,117,0.017999841182088784,0.03715437467080248,0.0034349231534199693,0.011267391801385643,0.024732290562791925,5.240245670173815,7.270454865937062e-07
CN,effective,0,"[-5,+5]",m5_p5,winsorized_1pct,117,0.005666406197565717,0.06413633169331827,0.005929405962575004,-0.00595522948908129,0.017288041884212724,0.955644837498178,0.34123903744646
CN,effective,0,"[-3,+3]",m3_p3,winsorized_1pct,117,0.004216884782978244,0.059219811783131175,0.005474873536087332,-0.0065138673477529285,0.014947636913709416,0.7702250572881502,0.44273219221309734
CN,effective,0,"[-1,+1]",m1_p1,winsorized_1pct,117,0.0019134518329047808,0.03825472237738092,0.003536650334879143,-0.00501838282345834,0.008845286489267901,0.5410350619154913,0.5895209019904384
CN,effective,1,"[-5,+5]",m5_p5,winsorized_1pct,117,0.00668190099580438,0.07275984049181008,0.00672664963302057,-0.006502332284915937,0.019866134276524696,0.9933475593858012,0.32260818786626494
CN,effective,1,"[-3,+3]",m3_p3,winsorized_1pct,117,-0.00977872002418837,0.05780446719570501,0.005344024882692065,-0.020253008794264817,0.0006955687458880776,-1.8298417838320984,0.0698414218714026
CN,effective,1,"[-1,+1]",m1_p1,winsorized_1pct,117,0.003990183376528643,0.04737571434865858,0.0043798863409185524,-0.00459439385167172,0.012574760604729006,0.9110244115813787,0.3641717778432822
US,announce,0,"[-5,+5]",m5_p5,winsorized_1pct,116,-0.004849899343590952,0.08717853131051737,0.008094323426742614,-0.020714773260006474,0.01101497457282457,-0.5991729126572213,0.5502361421669643
US,announce,0,"[-3,+3]",m3_p3,winsorized_1pct,116,-0.003944712033693692,0.07352994589114482,0.006827084084198232,-0.017325796838722228,0.009436372771334842,-0.5778033469404613,0.5645265388830756
US,announce,0,"[-1,+1]",m1_p1,winsorized_1pct,116,0.0033529826064389546,0.06481602672745339,0.006018017001223645,-0.00844233071595939,0.015148295928837298,0.5571573835296897,0.5785026910629575
US,announce,1,"[-5,+5]",m5_p5,winsorized_1pct,256,0.012930089666218307,0.08074176939963573,0.005046360587477233,0.0030392229147629297,0.022820956417673684,2.5622603541857267,0.010974647875690182
US,announce,1,"[-3,+3]",m3_p3,winsorized_1pct,255,0.0141366790129981,0.07090643995777031,0.004440333509592643,0.00543362533419652,0.02283973269179968,3.183697571918421,0.0016354263374683527
US,announce,1,"[-1,+1]",m1_p1,winsorized_1pct,254,0.01833162639983878,0.053807360317151165,0.0033761740590157086,0.011714325244167993,0.024948927555509568,5.429704179761155,1.3230703471333784e-07
US,effective,0,"[-5,+5]",m5_p5,winsorized_1pct,116,-0.00665799321340622,0.08406247011952613,0.007805004408421861,-0.02195580185391307,0.008639815427100628,-0.8530415698704825,0.3954094695508407
US,effective,0,"[-3,+3]",m3_p3,winsorized_1pct,116,0.0049337263567945,0.0746702692210425,0.006932960447386498,-0.008654876120083036,0.018522328833672035,0.7116334204177316,0.47813288804456966
US,effective,0,"[-1,+1]",m1_p1,winsorized_1pct,113,-0.005139291601873425,0.050724673562201276,0.004771775896190848,-0.014491972358407487,0.004213389154660636,-1.0770186433055149,0.28378631302942936
US,effective,1,"[-5,+5]",m5_p5,winsorized_1pct,258,-0.0005041994812217917,0.0753487300365488,0.004691007031486962,-0.009698573262936237,0.008690174300492653,-0.10748214143306663,0.9144903512039108
US,effective,1,"[-3,+3]",m3_p3,winsorized_1pct,258,-0.0010564156654389336,0.06287742709384012,0.003914577624280326,-0.008728987809028373,0.006616156478150505,-0.2698670883127909,0.787479072848724
US,effective,1,"[-1,+1]",m1_p1,winsorized_1pct,257,-0.0006597195992441585,0.04152846675085568,0.002590474582570776,-0.005737049781082879,0.004417610582594563,-0.2546713269000523,0.7991814221317307
CN,announce,0,"[0,+5]",p0_p5,winsorized_1pct,117,-0.010249168317015861,0.043910410739207865,0.004059518908894835,-0.01820582537844974,-0.002292511255581985,-2.5247248619925995,0.012929758614003665
