event_id,status,selected_controls,sector_relaxed,sector_filter_mode
US-s-p500-wpx-20140314-20140321-del-02,skipped_no_valid_match,0,True,penalized
US-s-p500-wrb-20191127-20191205-add-01,matched,3,True,penalized
US-s-p500-wsm-20250307-20250324-add-01,matched,3,True,penalized
US-s-p500-wst-20200518-20200522-add-01,matched,3,True,penalized
US-s-p500-wu-20211203-20211220-del-01,matched,3,True,penalized
US-s-p500-wyn-20180525-20180531-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-x-20140627-20140702-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-xec-20140612-20140620-add-01,skipped_no_valid_match,0,True,penalized
US-s-p500-xec-20200227-20200302-del-02,skipped_no_valid_match,0,True,penalized
US-s-p500-xl-20180911-20180914-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-xlnx-20220210-20220215-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-xrx-20210312-20210322-del-01,matched,3,True,penalized
US-s-p500-xto-20100622-20100628-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-xyl-20111024-20111031-add-01,matched,3,True,penalized
US-s-p500-xyz-20250718-20250723-add-01,matched,3,True,penalized
US-s-p500-yhoo-20170609-20170619-del-01,skipped_no_valid_match,0,True,penalized
US-s-p500-zbra-20191213-20191223-add-01,matched,3,True,penalized
US-s-p500-zion-20240301-20240318-del-01,matched,3,True,penalized
US-s-p500-zts-20130614-20130621-add-01,matched,3,True,penalized
