market,index_name,ticker,announce_date,effective_date,batch_id,security_name,event_type,inclusion,source,source_url,note,sector
CN,CSI300,002568,2021-11-26,2021-12-10,csi300-2021-11,百润股份,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002709,2021-11-26,2021-12-10,csi300-2021-11,天赐材料,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002791,2021-11-26,2021-12-10,csi300-2021-11,坚朗五金,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300316,2021-11-26,2021-12-10,csi300-2021-11,晶盛机电,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300750,2021-11-26,2021-12-10,csi300-2021-11,宁德时代,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300759,2021-11-26,2021-12-10,csi300-2021-11,康龙化成,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300760,2021-11-26,2021-12-10,csi300-2021-11,迈瑞医疗,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300782,2021-11-26,2021-12-10,csi300-2021-11,卓胜微,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300866,2021-11-26,2021-12-10,csi300-2021-11,安克创新,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300888,2021-11-26,2021-12-10,csi300-2021-11,稳健医疗,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300896,2021-11-26,2021-12-10,csi300-2021-11,爱美客,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300999,2021-11-26,2021-12-10,csi300-2021-11,金龙鱼,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600905,2021-11-26,2021-12-10,csi300-2021-11,三峡能源,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601728,2021-11-26,2021-12-10,csi300-2021-11,中国电信,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601865,2021-11-26,2021-12-10,csi300-2021-11,福莱特,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601868,2021-11-26,2021-12-10,csi300-2021-11,中国能建,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601898,2021-11-26,2021-12-10,csi300-2021-11,中煤能源,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
