batch_id,announce_date,effective_date,ticker,security_name,inclusion,reconstructed_running_variable,cutoff,distance_to_cutoff,boundary_side,reference_warning
2024-05-31,2024-05-31,2024-06-14,600460,士兰微,1,310,300,10,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,002555,三七互娱,1,311,300,11,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,688561,奇安信-U,0,289,300,-11,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,601236,红塔证券,1,312,300,12,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,603899,晨光股份,1,313,300,13,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,002202,金风科技,0,314,300,14,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,600732,爱旭股份,0,300,300,0,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300223,北京君正,0,299,300,-1,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300751,迈为股份,0,301,300,1,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002271,东方雨虹,1,298,300,-2,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002812,恩捷股份,1,302,300,2,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002007,华兰生物,1,297,300,-3,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002555,三七互娱,1,303,300,3,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002180,纳思达,1,304,300,4,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,603899,晨光股份,0,296,300,-4,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002821,凯莱英,0,295,300,-5,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,601799,星宇股份,1,305,300,5,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300450,先导智能,1,306,300,6,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,600132,重庆啤酒,0,294,300,-6,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002603,以岭药业,0,293,300,-7,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,688169,石头科技,1,307,300,7,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,601236,红塔证券,1,308,300,8,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,688363,华熙生物,0,292,300,-8,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
